,ID,Gender,Car,Reality,inc,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,wkphone,phone,email,famsize,begin_month,dep_value,target,ChldNo_0,ChldNo_1,ChldNo_2More,gp_inc_high,gp_inc_low,gp_inc_medium,Age,gp_Age_high,gp_Age_highest,gp_Age_low,gp_Age_lowest,gp_Age_medium,worktm,gp_worktm_high,gp_worktm_highest,gp_worktm_low,gp_worktm_lowest,gp_worktm_medium,famsizegp_1,famsizegp_2,famsizegp_3more,inctp_Commercial associate,inctp_State servant,inctp_Working,occyp_Laborwk,occyp_Other,occyp_hightecwk,occyp_officewk,houtp_Co-op apartment,houtp_House / apartment,houtp_Municipal apartment,houtp_Office apartment,houtp_Rented apartment,houtp_With parents,edutp_Higher education,edutp_Incomplete higher,edutp_Lower secondary,edutp_Secondary / secondary special,famtp_Civil marriage,famtp_Married,famtp_Separated,famtp_Single / not married,famtp_Widow
0,5008804.0,1.0,1.0,1.0,42.75,-12005.0,-4542.0,1.0,1,0,0,2,-15.0,No,0,1.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,12.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1,5008805.0,1.0,1.0,1.0,42.75,-12005.0,-4542.0,1.0,1,0,0,2,-14.0,No,0,1.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,12.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2,5008806.0,1.0,1.0,1.0,11.25,-21474.0,-1134.0,1.0,0,0,0,2,-29.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
3,5008808.0,0.0,0.0,1.0,27.0,-19110.0,-3051.0,1.0,0,1,1,1,-4.0,No,0,1.0,0.0,0.0,1.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,8.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,5008809.0,0.0,0.0,1.0,27.0,-19110.0,-3051.0,1.0,0,1,1,1,-26.0,No,0,1.0,0.0,0.0,1.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,8.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5,5008810.0,0.0,0.0,1.0,27.0,-19110.0,-3051.0,1.0,0,1,1,1,-26.0,No,0,1.0,0.0,0.0,1.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,8.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
6,5008811.0,0.0,0.0,1.0,27.0,-19110.0,-3051.0,1.0,0,1,1,1,-38.0,No,0,1.0,0.0,0.0,1.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,8.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7,5008815.0,1.0,1.0,1.0,27.0,-16872.0,-769.0,1.0,1,1,1,2,-5.0,No,0,1.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
8,5112956.0,1.0,1.0,1.0,27.0,-16872.0,-769.0,1.0,1,1,1,2,-42.0,No,0,1.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
9,5008819.0,1.0,1.0,1.0,13.5,-17778.0,-1194.0,1.0,0,0,0,2,-17.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,48.0,0.0,0.0,0.0,0.0,1.0,3.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
